entityRef,entityRefName,entityID
http://www.reactome.org/biopax/95/48887#ProteinReference8483,fecA,P13036
http://www.reactome.org/biopax/95/48887#ProteinReference8483,JW4251,P13036
http://www.reactome.org/biopax/95/48887#ProteinReference2547,UniProt:P04424 ASL,P04424
http://www.reactome.org/biopax/95/48887#ProteinReference2547,ASL,P04424
http://www.reactome.org/biopax/95/48887#ProteinReference6183,UniProt:Q8TCT9 HM13,Q8TCT9
http://www.reactome.org/biopax/95/48887#ProteinReference6183,H13,Q8TCT9
http://www.reactome.org/biopax/95/48887#ProteinReference6183,SPP,Q8TCT9
http://www.reactome.org/biopax/95/48887#ProteinReference6183,IMP1,Q8TCT9
http://www.reactome.org/biopax/95/48887#ProteinReference6183,PSL3,Q8TCT9
http://www.reactome.org/biopax/95/48887#ProteinReference6183,HM13,Q8TCT9
http://www.reactome.org/biopax/95/48887#ProteinReference6183,MSTP086,Q8TCT9
http://www.reactome.org/biopax/95/48887#ProteinReference10984,RELN,P78509
http://www.reactome.org/biopax/95/48887#ProteinReference10984,UniProt:P78509 RELN,P78509
http://www.reactome.org/biopax/95/48887#ProteinReference10390,HCA519,Q9ULW0
http://www.reactome.org/biopax/95/48887#ProteinReference10390,UniProt:Q9ULW0 TPX2,Q9ULW0
http://www.reactome.org/biopax/95/48887#ProteinReference10390,C20orf2,Q9ULW0
http://www.reactome.org/biopax/95/48887#ProteinReference10390,C20orf1,Q9ULW0
http://www.reactome.org/biopax/95/48887#ProteinReference10390,DIL2,Q9ULW0
http://www.reactome.org/biopax/95/48887#ProteinReference10390,TPX2,Q9ULW0
http://www.reactome.org/biopax/95/48887#ProteinReference11724,OR1P1,Q8NH06
http://www.reactome.org/biopax/95/48887#ProteinReference11724,OR1P1P,Q8NH06
http://www.reactome.org/biopax/95/48887#ProteinReference11724,UniProt:Q8NH06 OR1P1,Q8NH06
http://www.reactome.org/biopax/95/48887#ProteinReference633,CCDC109A,Q8NE86
http://www.reactome.org/biopax/95/48887#ProteinReference633,UniProt:Q8NE86 MCU,Q8NE86
http://www.reactome.org/biopax/95/48887#ProteinReference633,MCU,Q8NE86
http://www.reactome.org/biopax/95/48887#ProteinReference633,C10orf42,Q8NE86
http://www.reactome.org/biopax/95/48887#ProteinReference5492,UniProt:Q9HBI1 PARVB,Q9HBI1
http://www.reactome.org/biopax/95/48887#ProteinReference5492,PARVB,Q9HBI1
http://www.reactome.org/biopax/95/48887#ProteinReference5492,CGI-56,Q9HBI1
http://www.reactome.org/biopax/95/48887#ProteinReference5449,HEYL,Q9NQ87
http://www.reactome.org/biopax/95/48887#ProteinReference5449,BHLHB33,Q9NQ87
http://www.reactome.org/biopax/95/48887#ProteinReference5449,HRT3,Q9NQ87
http://www.reactome.org/biopax/95/48887#ProteinReference5449,UniProt:Q9NQ87 HEYL,Q9NQ87
http://www.reactome.org/biopax/95/48887#ProteinReference10971,EPHB1,P54762
http://www.reactome.org/biopax/95/48887#ProteinReference10971,HEK6,P54762
http://www.reactome.org/biopax/95/48887#ProteinReference10971,ELK,P54762
http://www.reactome.org/biopax/95/48887#ProteinReference10971,NET,P54762
http://www.reactome.org/biopax/95/48887#ProteinReference10971,EPHT2,P54762
http://www.reactome.org/biopax/95/48887#ProteinReference10971,UniProt:P54762 EPHB1,P54762
http://www.reactome.org/biopax/95/48887#ProteinReference6641,UniProt:Q9HAV7 GRPEL1,Q9HAV7
http://www.reactome.org/biopax/95/48887#ProteinReference6641,GREPEL1,Q9HAV7
http://www.reactome.org/biopax/95/48887#ProteinReference6641,GRPEL1,Q9HAV7
http://www.reactome.org/biopax/95/48887#ProteinReference2692,UniProt:P0DMN0 SULT1A4,P0DMN0
http://www.reactome.org/biopax/95/48887#ProteinReference2692,SULT1A4,P0DMN0
http://www.reactome.org/biopax/95/48887#ProteinReference6448,GRK3,P35626
http://www.reactome.org/biopax/95/48887#ProteinReference6448,BARK2,P35626
http://www.reactome.org/biopax/95/48887#ProteinReference6448,UniProt:P35626 GRK3,P35626
http://www.reactome.org/biopax/95/48887#ProteinReference6448,ADRBK2,P35626
http://www.reactome.org/biopax/95/48887#ProteinReference2868,PBSCF,P62306
http://www.reactome.org/biopax/95/48887#ProteinReference2868,SNRPF,P62306
http://www.reactome.org/biopax/95/48887#ProteinReference2868,UniProt:P62306 SNRPF,P62306
http://www.reactome.org/biopax/95/48887#ProteinReference10118,ZNF34,Q8IZ26
http://www.reactome.org/biopax/95/48887#ProteinReference10118,KOX32,Q8IZ26
http://www.reactome.org/biopax/95/48887#ProteinReference10118,UniProt:Q8IZ26 ZNF34,Q8IZ26
http://www.reactome.org/biopax/95/48887#ProteinReference2124,UniProt:O00142 TK2,O00142
http://www.reactome.org/biopax/95/48887#ProteinReference2124,TK2,O00142
http://www.reactome.org/biopax/95/48887#ProteinReference2886,SNRPA1,P09661
http://www.reactome.org/biopax/95/48887#ProteinReference2886,UniProt:P09661 SNRPA1,P09661
http://www.reactome.org/biopax/95/48887#ProteinReference6078,CDKN6,Q00534
http://www.reactome.org/biopax/95/48887#ProteinReference6078,CDK6,Q00534
http://www.reactome.org/biopax/95/48887#ProteinReference6078,UniProt:Q00534 CDK6,Q00534
http://www.reactome.org/biopax/95/48887#ProteinReference3637,FGB,P02675
http://www.reactome.org/biopax/95/48887#ProteinReference3637,UniProt:P02675 FGB,P02675
http://www.reactome.org/biopax/95/48887#ProteinReference7917,STK21,O14578
http://www.reactome.org/biopax/95/48887#ProteinReference7917,CIT,O14578
http://www.reactome.org/biopax/95/48887#ProteinReference7917,UniProt:O14578 CIT,O14578
http://www.reactome.org/biopax/95/48887#ProteinReference7917,KIAA0949,O14578
http://www.reactome.org/biopax/95/48887#ProteinReference7917,CRIK,O14578
http://www.reactome.org/biopax/95/48887#ProteinReference4134,MGEA11,Q96PC5
http://www.reactome.org/biopax/95/48887#ProteinReference4134,CTAGE5,Q96PC5
http://www.reactome.org/biopax/95/48887#ProteinReference4134,MEA11,Q96PC5
http://www.reactome.org/biopax/95/48887#ProteinReference4134,UniProt:Q96PC5 MIA2,Q96PC5
http://www.reactome.org/biopax/95/48887#ProteinReference4134,MGEA6,Q96PC5
http://www.reactome.org/biopax/95/48887#ProteinReference4134,MEA6,Q96PC5
http://www.reactome.org/biopax/95/48887#ProteinReference4134,MIA2,Q96PC5
http://www.reactome.org/biopax/95/48887#ProteinReference10939,SCN3A,Q9NY46
http://www.reactome.org/biopax/95/48887#ProteinReference10939,NAC3,Q9NY46
http://www.reactome.org/biopax/95/48887#ProteinReference10939,UniProt:Q9NY46 SCN3A,Q9NY46
http://www.reactome.org/biopax/95/48887#ProteinReference10939,KIAA1356,Q9NY46
http://www.reactome.org/biopax/95/48887#ProteinReference5409,HTF4,Q99081
http://www.reactome.org/biopax/95/48887#ProteinReference5409,TCF12,Q99081
http://www.reactome.org/biopax/95/48887#ProteinReference5409,HEB,Q99081
http://www.reactome.org/biopax/95/48887#ProteinReference5409,BHLHB20,Q99081
http://www.reactome.org/biopax/95/48887#ProteinReference5409,UniProt:Q99081 TCF12,Q99081
http://www.reactome.org/biopax/95/48887#ProteinReference3538,UniProt:Q9BXN1 ASPN,Q9BXN1
http://www.reactome.org/biopax/95/48887#ProteinReference3538,UNQ215/PRO241,Q9BXN1
http://www.reactome.org/biopax/95/48887#ProteinReference3538,PLAP1,Q9BXN1
http://www.reactome.org/biopax/95/48887#ProteinReference3538,SLRR1C,Q9BXN1
http://www.reactome.org/biopax/95/48887#ProteinReference3538,ASPN,Q9BXN1
http://www.reactome.org/biopax/95/48887#ProteinReference5801,IGCJ,P01591
http://www.reactome.org/biopax/95/48887#ProteinReference5801,UniProt:P01591 JCHAIN,P01591
http://www.reactome.org/biopax/95/48887#ProteinReference5801,IGJ,P01591
http://www.reactome.org/biopax/95/48887#ProteinReference5801,JCHAIN,P01591
http://www.reactome.org/biopax/95/48887#ProteinReference8411,MTCY50.01,P9WQJ5
http://www.reactome.org/biopax/95/48887#ProteinReference8411,UniProt:P9WQJ5 oppD,P9WQJ5
http://www.reactome.org/biopax/95/48887#ProteinReference8411,oppD,P9WQJ5
http://www.reactome.org/biopax/95/48887#ProteinReference8411,Rv1281c,P9WQJ5
http://www.reactome.org/biopax/95/48887#ProteinReference3249,UniProt:Q8WVM0 TFB1M,Q8WVM0
http://www.reactome.org/biopax/95/48887#ProteinReference3249,TFB1M,Q8WVM0
http://www.reactome.org/biopax/95/48887#ProteinReference3249,CGI-75,Q8WVM0
http://www.reactome.org/biopax/95/48887#ProteinReference8906,HUSSY-27,Q9Y4X5
http://www.reactome.org/biopax/95/48887#ProteinReference8906,UBCH7BP,Q9Y4X5
http://www.reactome.org/biopax/95/48887#ProteinReference8906,UniProt:Q9Y4X5 ARIH1,Q9Y4X5
http://www.reactome.org/biopax/95/48887#ProteinReference8906,ARIH1,Q9Y4X5
http://www.reactome.org/biopax/95/48887#ProteinReference8906,MOP6,Q9Y4X5
http://www.reactome.org/biopax/95/48887#ProteinReference8906,ARI,Q9Y4X5
http://www.reactome.org/biopax/95/48887#ProteinReference5405,RBBP4,Q09028
http://www.reactome.org/biopax/95/48887#ProteinReference5405,UniProt:Q09028 RBBP4,Q09028
http://www.reactome.org/biopax/95/48887#ProteinReference5405,RBAP48,Q09028
http://www.reactome.org/biopax/95/48887#ProteinReference4406,CTBP1,Q13363
http://www.reactome.org/biopax/95/48887#ProteinReference4406,UniProt:Q13363 CTBP1,Q13363
http://www.reactome.org/biopax/95/48887#ProteinReference4406,CTBP,Q13363
http://www.reactome.org/biopax/95/48887#ProteinReference740,PC,P11498
http://www.reactome.org/biopax/95/48887#ProteinReference740,UniProt:P11498 PC,P11498
http://www.reactome.org/biopax/95/48887#ProteinReference6034,UniProt:Q00613 HSF1,Q00613
http://www.reactome.org/biopax/95/48887#ProteinReference6034,HSF1,Q00613
http://www.reactome.org/biopax/95/48887#ProteinReference6034,HSTF1,Q00613
http://www.reactome.org/biopax/95/48887#ProteinReference7986,UniProt:Q9Y2X7 GIT1,Q9Y2X7
http://www.reactome.org/biopax/95/48887#ProteinReference7986,GIT1,Q9Y2X7
http://www.reactome.org/biopax/95/48887#ProteinReference1656,UniProt:Q15125 EBP,Q15125
http://www.reactome.org/biopax/95/48887#ProteinReference1656,EBP,Q15125
http://www.reactome.org/biopax/95/48887#ProteinReference8710,US26,F5H991
http://www.reactome.org/biopax/95/48887#ProteinReference8710,UniProt:F5H991 US26,F5H991
http://www.reactome.org/biopax/95/48887#ProteinReference3884,CCT1,P17987
http://www.reactome.org/biopax/95/48887#ProteinReference3884,UniProt:P17987 TCP1,P17987
http://www.reactome.org/biopax/95/48887#ProteinReference3884,TCP1,P17987
http://www.reactome.org/biopax/95/48887#ProteinReference3884,CCTA,P17987
http://www.reactome.org/biopax/95/48887#ProteinReference7712,HNF3A,P55317
http://www.reactome.org/biopax/95/48887#ProteinReference7712,UniProt:P55317 FOXA1,P55317
http://www.reactome.org/biopax/95/48887#ProteinReference7712,TCF3A,P55317
http://www.reactome.org/biopax/95/48887#ProteinReference7712,FOXA1,P55317
http://www.reactome.org/biopax/95/48887#ProteinReference1308,UniProt:Q9BR61 ACBD6,Q9BR61
http://www.reactome.org/biopax/95/48887#ProteinReference1308,ACBD6,Q9BR61
http://www.reactome.org/biopax/95/48887#ProteinReference1326,UniProt:O95822-2 MLYCD,O95822-2
http://www.reactome.org/biopax/95/48887#ProteinReference1326,MLYCD,O95822-2
http://www.reactome.org/biopax/95/48887#ProteinReference8508,UniProt:P02981 tetA,P02981
http://www.reactome.org/biopax/95/48887#ProteinReference8508,tetA,P02981
http://www.reactome.org/biopax/95/48887#ProteinReference11169,KRTAP2-3,P0C7H8
http://www.reactome.org/biopax/95/48887#ProteinReference11169,KRTAP2.3,P0C7H8
http://www.reactome.org/biopax/95/48887#ProteinReference11169,KAP2.3,P0C7H8
http://www.reactome.org/biopax/95/48887#ProteinReference11169,UniProt:P0C7H8 KRTAP2-3,P0C7H8
http://www.reactome.org/biopax/95/48887#ProteinReference7138,UniProt:P58294 PROK1,P58294
http://www.reactome.org/biopax/95/48887#ProteinReference7138,UNQ600/PRO1186,P58294
http://www.reactome.org/biopax/95/48887#ProteinReference7138,PROK1,P58294
http://www.reactome.org/biopax/95/48887#ProteinReference8736,US33A,F7V999
http://www.reactome.org/biopax/95/48887#ProteinReference8736,UniProt:F7V999 US33A,F7V999
http://www.reactome.org/biopax/95/48887#ProteinReference8107,RSN,P30622
http://www.reactome.org/biopax/95/48887#ProteinReference8107,CYLN1,P30622
http://www.reactome.org/biopax/95/48887#ProteinReference8107,CLIP1,P30622
