entityRef,entityRefName
reactome:ProteinReference8370,UniProt:P52564-1 MAP2K6
reactome:ProteinReference8370,SKK3
reactome:ProteinReference8370,MKK6
reactome:ProteinReference8370,MEK6
reactome:ProteinReference8370,PRKMK6
reactome:ProteinReference4321,GALNT1
reactome:ProteinReference4321,UniProt:Q10472 GALNT1
reactome:ProteinReference5983,RAB6KIFL
reactome:ProteinReference5983,UniProt:O95235 KIF20A
reactome:ProteinReference5983,KIF20A
reactome:ProteinReference5983,MKLP2
reactome:ProteinReference4858,TTLL9
reactome:ProteinReference4858,C20orf125
reactome:ProteinReference4858,UniProt:Q3SXZ7 TTLL9
reactome:ProteinReference7322,PTCH
reactome:ProteinReference7322,PTCH1
reactome:ProteinReference7322,UniProt:Q13635 PTCH1
reactome:ProteinReference10319,UniProt:Q68DY9 ZNF772
reactome:ProteinReference10319,ZNF772
reactome:ProteinReference6333,CEV14
reactome:ProteinReference6333,UniProt:Q15643 TRIP11
reactome:ProteinReference6333,TRIP11
reactome:ProteinReference2397,IDO2
reactome:ProteinReference2397,UniProt:Q6ZQW0 IDO2
reactome:ProteinReference2397,INDOL1
reactome:ProteinReference9623,UniProt:P36222 CHI3L1
reactome:ProteinReference9623,CHI3L1
reactome:ProteinReference247,UniProt:O75387 SLC43A1
reactome:ProteinReference247,SLC43A1
reactome:ProteinReference247,POV1
reactome:ProteinReference247,LAT3
reactome:ProteinReference247,PB39
reactome:ProteinReference6436,EPGN
reactome:ProteinReference6436,UNQ3072/PRO9904
reactome:ProteinReference6436,UniProt:Q6UW88 EPGN
reactome:ProteinReference7923,RHPN2
reactome:ProteinReference7923,UniProt:Q8IUC4 RHPN2
reactome:ProteinReference415,ATP6V1F
reactome:ProteinReference415,VATF
reactome:ProteinReference415,ATP6S14
reactome:ProteinReference415,UniProt:Q16864 ATP6V1F
reactome:ProteinReference5053,C3
reactome:ProteinReference5053,CPAMD1
reactome:ProteinReference5053,UniProt:P01024 C3
reactome:ProteinReference11177,KAP4.3
reactome:ProteinReference11177,UniProt:Q9BYR4 KRTAP4-3
reactome:ProteinReference11177,KRTAP4-3
reactome:ProteinReference11177,KRTAP4.3
reactome:ProteinReference7416,UniProt:P34947 GRK5
reactome:ProteinReference7416,GPRK5
reactome:ProteinReference7416,GRK5
reactome:ProteinReference4206,KDELR2
reactome:ProteinReference4206,UniProt:P33947 KDELR2
reactome:ProteinReference4206,ERD2.2
reactome:ProteinReference256,UniProt:Q7Z2H8 SLC36A1
reactome:ProteinReference256,SLC36A1
reactome:ProteinReference256,PAT1
reactome:ProteinReference6189,UniProt:Q96PH1 NOX5
reactome:ProteinReference6189,NOX5
reactome:ProteinReference8073,DSP
reactome:ProteinReference8073,UniProt:P15924 DSP
reactome:ProteinReference5504,UniProt:P50552 VASP
reactome:ProteinReference5504,VASP
reactome:ProteinReference843,RPI
reactome:ProteinReference843,RPIA
reactome:ProteinReference843,UniProt:P49247 RPIA
reactome:ProteinReference4957,ASB2
reactome:ProteinReference4957,UniProt:Q96Q27 ASB2
reactome:ProteinReference3011,UniProt:Q6IEG0 SNRNP48
reactome:ProteinReference3011,SNRNP48
reactome:ProteinReference3011,C6orf151
reactome:ProteinReference2666,UniProt:P16083 NQO2
reactome:ProteinReference2666,NMOR2
reactome:ProteinReference2666,NQO2
reactome:ProteinReference6141,DNAJA4
reactome:ProteinReference6141,UniProt:Q8WW22 DNAJA4
reactome:ProteinReference10538,UniProt:P10243 MYBL1
reactome:ProteinReference10538,AMYB
reactome:ProteinReference10538,MYBL1
reactome:ProteinReference6513,CGI-149
reactome:ProteinReference6513,VPS24
reactome:ProteinReference6513,CGI149
reactome:ProteinReference6513,UniProt:Q9Y3E7 CHMP3
reactome:ProteinReference6513,NEDF
reactome:ProteinReference6513,CHMP3
reactome:ProteinReference964,KIAA0990
reactome:ProteinReference964,CHSY
reactome:ProteinReference964,UNQ756/PRO1487
reactome:ProteinReference964,UniProt:Q86X52 CHSY1
reactome:ProteinReference964,CSS1
reactome:ProteinReference964,CHSY1
reactome:ProteinReference3820,CGI-118
reactome:ProteinReference3820,MRPL48
reactome:ProteinReference3820,UniProt:Q96GC5 MRPL48
reactome:ProteinReference3820,HSPC290
reactome:ProteinReference10872,MAFB
reactome:ProteinReference10872,KRML
reactome:ProteinReference10872,UniProt:Q9Y5Q3 MAFB
reactome:ProteinReference3981,GPI8
reactome:ProteinReference3981,UniProt:Q92643 PIGK
reactome:ProteinReference3981,PIGK
reactome:ProteinReference2023,COX7A2
reactome:ProteinReference2023,COX7AL
reactome:ProteinReference2023,UniProt:P14406 COX7A2
reactome:ProteinReference11799,OR3A8P
reactome:ProteinReference11799,OR3A7
reactome:ProteinReference11799,OR3A3
reactome:ProteinReference11799,OR3A6
reactome:ProteinReference11799,UniProt:P47888 OR3A3
reactome:ProteinReference4632,RNF49
reactome:ProteinReference4632,UniProt:Q13489 BIRC3
reactome:ProteinReference4632,BIRC3
reactome:ProteinReference4632,MIHC
reactome:ProteinReference4632,API2
reactome:ProteinReference3137,EDC3
reactome:ProteinReference3137,LSM16
reactome:ProteinReference3137,UniProt:Q96F86 EDC3
reactome:ProteinReference3137,PP844
reactome:ProteinReference3137,YJDC
reactome:ProteinReference3137,YJEFN2
reactome:ProteinReference1047,INO1
reactome:ProteinReference1047,UniProt:Q9NPH2 ISYNA1
reactome:ProteinReference1047,ISYNA1
reactome:ProteinReference9318,UniProt:Q8IYS5 OSCAR
reactome:ProteinReference9318,OSCAR
reactome:ProteinReference10227,UniProt:Q8N8J6 ZNF615
reactome:ProteinReference10227,ZNF615
reactome:ProteinReference2592,UniProt:Q6PKC3 TXNDC11
reactome:ProteinReference2592,EFP1
reactome:ProteinReference2592,TXNDC11
reactome:ProteinReference10306,ZNF740
reactome:ProteinReference10306,UniProt:Q8NDX6 ZNF740
reactome:ProteinReference10306,TB7
reactome:ProteinReference10444,NMDAR2A
reactome:ProteinReference10444,UniProt:Q12879 GRIN2A
reactome:ProteinReference10444,GRIN2A
reactome:ProteinReference9823,UniProt:P40189-2 IL6ST
reactome:ProteinReference9823,IL6ST
