entity,id
http://smpdb.ca/pathways/#Protein/19624_Cytosol,Q9QZ80
http://smpdb.ca/pathways/#Protein/15264_Mitochondrial_Matrix,Q9VKR4
http://smpdb.ca/pathways/#Protein/14736_Endoplasmic_Reticulum_Membrane,Q8MK44
http://smpdb.ca/pathways/#Protein/116,Q99643
http://smpdb.ca/pathways/#Protein/15320_Mitochondrial_Matrix,Q63407
http://smpdb.ca/pathways/#Protein/13606_Mitochondrion,Q6P3A8
http://smpdb.ca/pathways/#Protein/16940_Mitochondrion,A6QLI6
http://smpdb.ca/pathways/#Protein/19552_Cytoplasm,Q9ERD3
http://smpdb.ca/pathways/#Protein/22038_Cytoplasm,Q571K4
http://smpdb.ca/pathways/#Protein/13679_Cytosol,Q9DBF1
http://smpdb.ca/pathways/#Protein/22019_Cytoplasm,Q9R0X8
http://smpdb.ca/pathways/#Protein/10926,Q08224
http://smpdb.ca/pathways/#Protein/1353_Cytoplasm,P43405
http://smpdb.ca/pathways/#Protein/22955,P03023
http://smpdb.ca/pathways/#Protein/21922_Cytoplasm,P52631
http://smpdb.ca/pathways/#Protein/10649,P41277
http://smpdb.ca/pathways/#Protein/11802_Cytosol,Q9M0F9
http://smpdb.ca/pathways/#Protein/19870_Cytoplasm,Q64135
http://smpdb.ca/pathways/#Protein/19664_Cytoplasm,Q5M824
http://smpdb.ca/pathways/#Protein/19469_Nucleus,Q569F1
http://smpdb.ca/pathways/#Protein/198_Mitochondrion,Q9UI17
http://smpdb.ca/pathways/#Protein/16549_Peroxisome,P97562
http://smpdb.ca/pathways/#Protein/15500,D3ZG79
http://smpdb.ca/pathways/#Protein/11124,Q8GXW5
http://smpdb.ca/pathways/#Protein/16932_Cytosol,Q9VCE1
http://smpdb.ca/pathways/#Protein/13898_Cytosol,Q711T7
http://smpdb.ca/pathways/#Protein/13876_Cytosol,Q6PGK7
http://smpdb.ca/pathways/#Protein/21528_Cytoplasm,Q5XIC2
http://smpdb.ca/pathways/#Protein/21748_Cytoplasm,Q2TBP0
http://smpdb.ca/pathways/#Protein/11007_Nucleus,P18494
http://smpdb.ca/pathways/#Protein/17630_Extracellular_Space,Q95478
