entity,entityName
http://smpdb.ca/pathways/#Protein/10867,sphinganine C4-monooxygenase
http://smpdb.ca/pathways/#Protein/5694_Extracellular_Space,Fibrinogen beta chain
http://smpdb.ca/pathways/#Protein/1897,RalA-binding protein 1
http://smpdb.ca/pathways/#Protein/16538_Mitochondrial_Inner_Membrane,Probable cytochrome P450 CYP44
http://smpdb.ca/pathways/#Protein/918_Cytosol,Fructose-bisphosphate aldolase B
http://smpdb.ca/pathways/#Protein/17669_Cytosol,Iron regulatory protein 1A
http://smpdb.ca/pathways/#Protein/13907_Peroxisome_Membrane,Long-chain-fatty-acid--CoA ligase 1
http://smpdb.ca/pathways/#Protein/20081_Cytoplasm,Proto-oncogene c-Fos
http://smpdb.ca/pathways/#Protein/6361,Glucosamine--fructose-6-phosphate aminotransferase [isomerizing]
http://smpdb.ca/pathways/#Protein/20534_sarcoplasmic_reticulum,Sarcoplasmic/endoplasmic reticulum calcium ATPase 1
http://smpdb.ca/pathways/#Protein/13561_Endoplasmic_Reticulum,Cytochrome P450 98A3
http://smpdb.ca/pathways/#Protein/13763_Cytoplasm,"Serine hydroxymethyltransferase, cytosolic"
http://smpdb.ca/pathways/#Protein/Generic195,trans-Δ3-cis-Δ5-dodecenoyl-[acp]
http://smpdb.ca/pathways/#Protein/797_Mitochondrion,"Alpha-aminoadipic semialdehyde synthase, mitochondrial"
http://smpdb.ca/pathways/#Protein/1527_Cytosol,Adenosine receptor A2a
http://smpdb.ca/pathways/#Protein/21223,Peroxisome proliferator-activated receptor alpha
http://smpdb.ca/pathways/#Protein/17593_Cytoplasm,Proliferating cell nuclear antigen
http://smpdb.ca/pathways/#Protein/15094_Mitochondrial_Matrix,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial"
http://smpdb.ca/pathways/#Protein/Generic79_Cell_Membrane,G protein-coupled receptor
http://smpdb.ca/pathways/#Protein/7430_Outer_Membrane,D-methionine-binding lipoprotein metQ
http://smpdb.ca/pathways/#Protein/12268_Cytosol,4-hydroxy-3-methylbut-2-enyl diphosphate reductase
http://smpdb.ca/pathways/#Protein/546_Peroxisome_Membrane,Long-chain-fatty-acid--CoA ligase 1
http://smpdb.ca/pathways/#Protein/520_Endoplasmic_Reticulum_Membrane,7-dehydrocholesterol reductase
http://smpdb.ca/pathways/#Protein/14646,Complement C4-B
http://smpdb.ca/pathways/#Protein/13855_Cell_Membrane,Sphingosine kinase 1
http://smpdb.ca/pathways/#Protein/16350_Cytoplasm,NADP-dependent malic enzyme
http://smpdb.ca/pathways/#Protein/17145_Cytosol,Ribokinase
http://smpdb.ca/pathways/#Protein/7803,6-phosphofructokinase II 
http://smpdb.ca/pathways/#Protein/15855_Cytosol,S-adenosylmethionine decarboxylase proenzyme
http://smpdb.ca/pathways/#Protein/14941_Mitochondrial_Matrix,"Alanine--tRNA ligase, cytoplasmic"
http://smpdb.ca/pathways/#Protein/1320_Cytosol,Tyrosine-protein kinase BTK
http://smpdb.ca/pathways/#Protein/17269_Endoplasmic_Reticulum_Membrane,3-oxo-5-alpha-steroid 4-dehydrogenase 1
http://smpdb.ca/pathways/#Protein/19753_Cytoplasm,Guanine nucleotide-binding protein G(T) subunit gamma-T1
http://smpdb.ca/pathways/#Protein/21388_Cell_Membrane,C-X-C chemokine receptor type 4
http://smpdb.ca/pathways/#Protein/10639,glycerol 2-dehydrogenase
http://smpdb.ca/pathways/#Protein/20617_Cytosol,"Troponin T, cardiac muscle"
http://smpdb.ca/pathways/#Protein/78_Smooth_Endoplasmic_Reticulum_,Phosphatidylethanolamine N-methyltransferase
http://smpdb.ca/pathways/#Protein/19986_Cytoplasm,Mothers against decapentaplegic homolog 3
http://smpdb.ca/pathways/#Protein/19606_Cytoplasm,Protein kinase C alpha type
http://smpdb.ca/pathways/#Protein/10398,Catabolite repressor/activator
http://smpdb.ca/pathways/#Protein/22793,"Probable citrate synthase, mitochondrial"
