entityRef,entityRefID
http://smpdb.ca/pathways/#ProteinReference/20436,F1MYR9
http://smpdb.ca/pathways/#ProteinReference/14748,Q2NKZ7
http://smpdb.ca/pathways/#ProteinReference/20060,Q3SZE5
http://smpdb.ca/pathways/#ProteinReference/20716,Q76I81
http://smpdb.ca/pathways/#ProteinReference/21842,Q63768
http://smpdb.ca/pathways/#ProteinReference/7337,P60664
http://smpdb.ca/pathways/#ProteinReference/1222,O14920
http://smpdb.ca/pathways/#ProteinReference/20600,P20280
http://smpdb.ca/pathways/#ProteinReference/19992,Q9CW56
http://smpdb.ca/pathways/#ProteinReference/4810,P47914
http://smpdb.ca/pathways/#ProteinReference/11563,Q3ED65
http://smpdb.ca/pathways/#ProteinReference/19692,Q9CST1
http://smpdb.ca/pathways/#ProteinReference/832,P53597
http://smpdb.ca/pathways/#ProteinReference/15467,Q9QZU7
http://smpdb.ca/pathways/#ProteinReference/14842,Q95TL5
http://smpdb.ca/pathways/#ProteinReference/15564,Q5HZB2
http://smpdb.ca/pathways/#ProteinReference/14336,P31800
http://smpdb.ca/pathways/#ProteinReference/278,P00505
http://smpdb.ca/pathways/#ProteinReference/6197,P0AC35
http://smpdb.ca/pathways/#ProteinReference/687,P05108
http://smpdb.ca/pathways/#ProteinReference/7746,
http://smpdb.ca/pathways/#ProteinReference/6449,P25665
http://smpdb.ca/pathways/#ProteinReference/20142,P62889
http://smpdb.ca/pathways/#ProteinReference/14696,Q99L43
http://smpdb.ca/pathways/#ProteinReference/19879,F1MND4
http://smpdb.ca/pathways/#ProteinReference/16546,Q148I9
http://smpdb.ca/pathways/#ProteinReference/16994,Q1LZI1
http://smpdb.ca/pathways/#ProteinReference/13726,Q6ZPS2
http://smpdb.ca/pathways/#ProteinReference/7941,P28070
http://smpdb.ca/pathways/#ProteinReference/3195,Q92736
http://smpdb.ca/pathways/#ProteinReference/22971,P38605
http://smpdb.ca/pathways/#ProteinReference/21861,Q5U303
http://smpdb.ca/pathways/#ProteinReference/1424,P45983
http://smpdb.ca/pathways/#ProteinReference/15187,P17764
http://smpdb.ca/pathways/#ProteinReference/22310,Q28134
http://smpdb.ca/pathways/#ProteinReference/18734,Q8MYW9
http://smpdb.ca/pathways/#ProteinReference/17367,Q64717
http://smpdb.ca/pathways/#ProteinReference/11451,P01325
http://smpdb.ca/pathways/#ProteinReference/6309,P11350
http://smpdb.ca/pathways/#ProteinReference/11597,Q9AV97
http://smpdb.ca/pathways/#ProteinReference/15497,A7MB63
http://smpdb.ca/pathways/#ProteinReference/6774,P77425
http://smpdb.ca/pathways/#ProteinReference/13851,Q9JI99
http://smpdb.ca/pathways/#ProteinReference/1492,Q92871
http://smpdb.ca/pathways/#ProteinReference/17013,A5JYX6
http://smpdb.ca/pathways/#ProteinReference/7748,
http://smpdb.ca/pathways/#ProteinReference/17391,O70173
http://smpdb.ca/pathways/#ProteinReference/452,P17752
http://smpdb.ca/pathways/#ProteinReference/16000,P11883
http://smpdb.ca/pathways/#ProteinReference/6733,P76041
http://smpdb.ca/pathways/#ProteinReference/16810,O35331
http://smpdb.ca/pathways/#ProteinReference/11572,O23512
http://smpdb.ca/pathways/#ProteinReference/15184,Q3ZBF6
http://smpdb.ca/pathways/#ProteinReference/10904,P54781
http://smpdb.ca/pathways/#ProteinReference/22645,M9PJJ5
http://smpdb.ca/pathways/#ProteinReference/14262,Q9EQC4
http://smpdb.ca/pathways/#ProteinReference/13711,Q8BH04
http://smpdb.ca/pathways/#ProteinReference/16033,P30349
http://smpdb.ca/pathways/#ProteinReference/13578,Q8RY79
http://smpdb.ca/pathways/#ProteinReference/15670,P16119
http://smpdb.ca/pathways/#ProteinReference/20477,P97794
http://smpdb.ca/pathways/#ProteinReference/1837,Q07869
http://smpdb.ca/pathways/#ProteinReference/22843,P46086
http://smpdb.ca/pathways/#ProteinReference/10813,P27796
http://smpdb.ca/pathways/#ProteinReference/16588,Q3T099
http://smpdb.ca/pathways/#ProteinReference/13288,B7UYS5
http://smpdb.ca/pathways/#ProteinReference/13855,Q8CI15
http://smpdb.ca/pathways/#ProteinReference/6434,P24186
http://smpdb.ca/pathways/#ProteinReference/14903,O02640
http://smpdb.ca/pathways/#ProteinReference/14349,Q99836
http://smpdb.ca/pathways/#ProteinReference/2361,Q9NVH6
http://smpdb.ca/pathways/#ProteinReference/16004,E1BD93
http://smpdb.ca/pathways/#ProteinReference/12266,Q02R99
http://smpdb.ca/pathways/#ProteinReference/16163,Q8HYZ4
http://smpdb.ca/pathways/#ProteinReference/11764,P42792
http://smpdb.ca/pathways/#ProteinReference/44,P08559
http://smpdb.ca/pathways/#ProteinReference/4408,Q9H6Z9
http://smpdb.ca/pathways/#ProteinReference/12055,A6VCI7
http://smpdb.ca/pathways/#ProteinReference/10892,P48016
http://smpdb.ca/pathways/#ProteinReference/17628,A7MBD8
http://smpdb.ca/pathways/#ProteinReference/20708,P62243
http://smpdb.ca/pathways/#ProteinReference/1058,Q13237
http://smpdb.ca/pathways/#ProteinReference/20358,Q3UES1
http://smpdb.ca/pathways/#ProteinReference/20472,Q9EQT0
http://smpdb.ca/pathways/#ProteinReference/13725,Q8VBT2
http://smpdb.ca/pathways/#ProteinReference/10331,P0A6Y8
http://smpdb.ca/pathways/#ProteinReference/14661,P08571
http://smpdb.ca/pathways/#ProteinReference/11581,O04420
http://smpdb.ca/pathways/#ProteinReference/1410,P06213
http://smpdb.ca/pathways/#ProteinReference/7629,P16677
http://smpdb.ca/pathways/#ProteinReference/20013,D3ZZC5
http://smpdb.ca/pathways/#ProteinReference/21056,Q62126
http://smpdb.ca/pathways/#ProteinReference/14314,O54865
http://smpdb.ca/pathways/#ProteinReference/11726,Q9FJW4
http://smpdb.ca/pathways/#ProteinReference/6887,P02921
http://smpdb.ca/pathways/#ProteinReference/22642,Q9VUF8
http://smpdb.ca/pathways/#ProteinReference/12295,B7VBP9
http://smpdb.ca/pathways/#ProteinReference/7724,P77454
http://smpdb.ca/pathways/#ProteinReference/11628,O81770
http://smpdb.ca/pathways/#ProteinReference/8115,P62917
http://smpdb.ca/pathways/#ProteinReference/19482,A2AD76
http://smpdb.ca/pathways/#ProteinReference/17381,Q9W1Y2
http://smpdb.ca/pathways/#ProteinReference/13892,P56501
http://smpdb.ca/pathways/#ProteinReference/15938,Q2KJ57
http://smpdb.ca/pathways/#ProteinReference/5743,P13667
http://smpdb.ca/pathways/#ProteinReference/11217,Q8VYI3
http://smpdb.ca/pathways/#ProteinReference/10844,P07259
http://smpdb.ca/pathways/#ProteinReference/7295,P37313
http://smpdb.ca/pathways/#ProteinReference/19580,B1H265
http://smpdb.ca/pathways/#ProteinReference/10579,P07283
http://smpdb.ca/pathways/#ProteinReference/19732,Q8C7H0
http://smpdb.ca/pathways/#ProteinReference/15493,Q3T056
