XBP1	abstraction:ControlsExpressionOf	DDX11
HNF6	abstraction:ControlsExpressionOf	NGN3
XBP1	abstraction:ControlsExpressionOf	SHC1
XBP1	abstraction:ControlsExpressionOf	TATD2
OSR1	abstraction:ControlsExpressionOf	LHX1
XBP1	abstraction:ControlsExpressionOf	DJB11
SIX1	abstraction:ControlsExpressionOf	SIX2
XBP1	abstraction:ControlsExpressionOf	ARFG1
WNT3A	abstraction:ControlsExpressionOf	TBX6
FGF4	abstraction:ControlsExpressionOf	MSX1
SIR1	abstraction:ControlsExpressionOf	BMAL1
FOXA2	abstraction:ControlsExpressionOf	PDX1
XBP1	abstraction:ControlsExpressionOf	ADDA
EOMES	abstraction:ControlsExpressionOf	SOX17
PAX6	abstraction:ControlsExpressionOf	PDX1
TFEB	abstraction:ControlsExpressionOf	PER3
XBP1	abstraction:ControlsExpressionOf	MYDGF
GATA3	abstraction:ControlsExpressionOf	ID4
ZIC3	abstraction:ControlsExpressionOf	NANOG
HNF1A	abstraction:ControlsExpressionOf	HNF4G
NDF1	abstraction:ControlsExpressionOf	HXK4
WNT3A	abstraction:ControlsExpressionOf	MSX1
ADIRF	abstraction:ControlsExpressionOf	PPARG
IHH	abstraction:ControlsExpressionOf	FOXF1
FOXO3	abstraction:ControlsExpressionOf	A4
FOXC2	abstraction:ControlsExpressionOf	GDNF
HXA6	abstraction:ControlsExpressionOf	LHX1
ZN467	abstraction:ControlsExpressionOf	PPARG
WNT3A	abstraction:ControlsExpressionOf	ZIC1
ATF6A	abstraction:ControlsExpressionOf	BIP
XBP1	abstraction:ControlsExpressionOf	LMNA
ZEB2	abstraction:ControlsExpressionOf	SOX1
XBP1	abstraction:ControlsExpressionOf	PDIA6
GBX2	abstraction:ControlsExpressionOf	MSX1
CEBPD	abstraction:ControlsExpressionOf	PPARG
HDAC1	abstraction:ControlsExpressionOf	FOXD3
XBP1	abstraction:ControlsExpressionOf	SEC12
LHX1	abstraction:ControlsExpressionOf	PAX2
XBP1	abstraction:ControlsExpressionOf	DCTN1
PAX3	abstraction:ControlsExpressionOf	FOXD3
MAFA	abstraction:ControlsExpressionOf	PDX1
XBP1	abstraction:ControlsExpressionOf	WFS1
ATF5	abstraction:ControlsExpressionOf	DEF5
HNF1B	abstraction:ControlsExpressionOf	PO3F3
ATF4	abstraction:ControlsExpressionOf	HERP1
RAI1	abstraction:ControlsExpressionOf	CLOCK
CEBPA	abstraction:ControlsExpressionOf	IL6RA
EMX2	abstraction:ControlsExpressionOf	PAX2
SIX1	abstraction:ControlsExpressionOf	GREM1
ZN638	abstraction:ControlsExpressionOf	PPARG
XBP1	abstraction:ControlsExpressionOf	ERD23
FOXC1	abstraction:ControlsExpressionOf	OSR1
FGF10	abstraction:ControlsExpressionOf	PDX1
FOXA2	abstraction:ControlsExpressionOf	SHH
SOX17	abstraction:ControlsExpressionOf	CADH1
FOXO1	abstraction:ControlsExpressionOf	SODM
SIR1	abstraction:ControlsExpressionOf	CLOCK
TPRX2	abstraction:ControlsExpressionOf	DUXA
PAX2	abstraction:ControlsExpressionOf	MECOM
CEBPB	abstraction:ControlsExpressionOf	PPARG
TYK2	abstraction:ControlsExpressionOf	MCL1
ERR1	abstraction:ControlsExpressionOf	CYC
TRPV1	abstraction:ControlsTransportOfChemical	calcium(II) cation
S6A14	abstraction:ControlsTransportOfChemical	Chlorine anion
VIAAT	abstraction:ControlsTransportOfChemical	H+
SC5A8	abstraction:ControlsTransportOfChemical	I(-)
SC6A2	abstraction:ControlsTransportOfChemical	(R)-noradrenalinium(1+)
S13A1	abstraction:ControlsTransportOfChemical	sodium(1+)
S2611	abstraction:ControlsTransportOfChemical	H+
SC5A8	abstraction:ControlsTransportOfChemical	sodium(1+)
SC5A2	abstraction:ControlsTransportOfChemical	Dextrose
OTOP1	abstraction:ControlsTransportOfChemical	H+
P24077	abstraction:ControlsTransportOfChemical	H+
CTNS	abstraction:ControlsTransportOfChemical	(2R,2'R)-3,3'-dithiobis(2-ammoniopropanoate)
NLS1	abstraction:ControlsTransportOfChemical	docosahexaenoyl-sn-glycero-3-phosphocholine
ZNT8	abstraction:ControlsTransportOfChemical	zinc, ion (Zn2+)
NTCP2	abstraction:ControlsTransportOfChemical	sodium(1+)
CTL1	abstraction:ControlsTransportOfChemical	Choline
SC5A2	abstraction:ControlsTransportOfChemical	sodium(1+)
S27A1	abstraction:ControlsTransportOfChemical	(5Z,8Z,11Z,14Z)-icosa-5,8,11,14-tetraenoate
NPT4	abstraction:ControlsTransportOfChemical	hydrogen phosphate
SO1B1	abstraction:ControlsTransportOfChemical	bilirubin dianion
RHBG	abstraction:ControlsTransportOfChemical	H+
SC5AA	abstraction:ControlsTransportOfChemical	sodium(1+)
SC6A3	abstraction:ControlsTransportOfChemical	sodium(1+)
S22A8	abstraction:ControlsTransportOfChemical	1-cyclopropyl-6-fluoro-4-oxo-7-(piperazin-4-ium-1-yl)-1,4-dihydroquinoline-3-carboxylate
RHBG	abstraction:ControlsTransportOfChemical	ammonium
RUNX1	abstraction:ControlsTransportOfChemical	sodium(1+)
S38A5	abstraction:ControlsTransportOfChemical	H+
S13A2	abstraction:ControlsTransportOfChemical	sodium(1+)
ABCAC	abstraction:ControlsTransportOfChemical	Lipid
S35B4	abstraction:ControlsTransportOfChemical	UDP-N-acetyl-alpha-D-glucosamine
NTCP	abstraction:ControlsTransportOfChemical	sodium(1+)
NCLX	abstraction:ControlsTransportOfChemical	sodium(1+)
NRAM1	abstraction:ControlsTransportOfChemical	H+
SWET1	abstraction:ControlsTransportOfChemical	Dextrose
S17A5	abstraction:ControlsTransportOfChemical	H+
SAMC	abstraction:ControlsTransportOfChemical	5'-S-[(3S)-3-azaniumyl-3-carboxylatopropyl]-5'-thioadenosine
SC6A6	abstraction:ControlsTransportOfChemical	sodium(1+)
PM34	abstraction:ControlsTransportOfChemical	AMP
MRP4	abstraction:ControlsTransportOfChemical	5'-O-[(phosphonatooxy)phosphinato]adenosine
A4	abstraction:ControlsTransportOfChemical	calcium(II) cation
CLIC2	abstraction:ControlsTransportOfChemical	calcium(II) cation
SC6A4	abstraction:ControlsTransportOfChemical	Chlorine anion
PRAF3	abstraction:ControlsTransportOfChemical	K(+)
CTNS	abstraction:ControlsTransportOfChemical	H+
S6A14	abstraction:ControlsTransportOfChemical	sodium(1+)
NCKX5	abstraction:ControlsTransportOfChemical	calcium(II) cation
S17A5	abstraction:ControlsTransportOfChemical	5-acetamido-3,5-dideoxy-D-galacto-non-2-ulopyranosonate
S39A7	abstraction:ControlsTransportOfChemical	zinc, ion (Zn2+)
CLCN3	abstraction:ControlsTransportOfChemical	Chlorine anion
P24077	abstraction:ControlsTransportOfChemical	enterobactin
S36A4	abstraction:ControlsTransportOfChemical	L-tryptophan
RHCG	abstraction:ControlsTransportOfChemical	ammonium
RFT1	abstraction:ControlsTransportOfChemical	(alpha-D-Mannosyl)4-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol
S13A3	abstraction:ControlsTransportOfChemical	(-)OOC-CH2-CH2-COO(-)
CD36	abstraction:ControlsTransportOfChemical	a long-chain fatty acid
O94956-1	abstraction:ControlsTransportOfChemical	acetylsalicylate
FLVC1	abstraction:ControlsTransportOfChemical	heme b
ARV1	abstraction:ControlsTransportOfChemical	CHOLESTEROL
S13A5	abstraction:ControlsTransportOfChemical	cit
S6A15	abstraction:ControlsTransportOfChemical	sodium(1+)
S4A4	abstraction:ControlsTransportOfChemical	sodium(1+)
VACHT	abstraction:ControlsTransportOfChemical	H+
CALM1	abstraction:ControlsTransportOfChemical	calcium(II) cation
CLN3	abstraction:ControlsTransportOfChemical	Cerebroside
AAAT	abstraction:ControlsTransportOfChemical	sodium(1+)
S6A20	abstraction:ControlsTransportOfChemical	L-proline
SOAT	abstraction:ControlsTransportOfChemical	TLC-S
NPT2C	abstraction:ControlsTransportOfChemical	sodium(1+)
MYCT	abstraction:ControlsTransportOfChemical	H+
S13A5	abstraction:ControlsTransportOfChemical	sodium(1+)
G6PT1	abstraction:ControlsTransportOfChemical	hydrogen phosphate
S22A5	abstraction:ControlsTransportOfChemical	sodium(1+)
S28A1	abstraction:ControlsTransportOfChemical	sodium(1+)
FGF21	abstraction:ControlsTransportOfChemical	Dextrose
S35D2	abstraction:ControlsTransportOfChemical	uridine 5'-[3-alpha-D-glucopyranosyl diphosphate]
S35A1	abstraction:ControlsTransportOfChemical	CMP-N-acetyl-beta-neuraminate dianion
CFTR	abstraction:ControlsTransportOfChemical	hydroxidodioxidocarbonate(1-)
S35D2	abstraction:ControlsTransportOfChemical	uridine 5'-phosphate
MRP1	abstraction:ControlsTransportOfChemical	leukotriene C4 dianion
ZNT1	abstraction:ControlsTransportOfChemical	H+
DIC	abstraction:ControlsTransportOfChemical	Sulfate anion(2-)
PRAF3	abstraction:ControlsTransportOfChemical	sodium(1+)
